Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Mieszkanie Bezczynszowe/84m2/ do wrowadzenia :),Górna,4,599000,84,7131,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-bezczynszowe-84m2-do-wrowadzenia-ID49AQJ.html
Przytulna kawalerka w klimatycznej kamienicy,Górna,1,169000,17.67,9564,18-01-2021,https://www.otodom.pl/pl/oferta/przytulna-kawalerka-w-klimatycznej-kamienicy-ID49AOw.html
Komfortowe 3 995m z garażem Kusocińskiego,Polesie Retkinia,3,630000,99.54,6329,18-01-2021,https://www.otodom.pl/pl/oferta/komfortowe-3-pokoje-99-5m-z-garazem-kusocinskiego-ID49AOq.html
Mieszkanie 2 pokojowe teofilów 4 piętro,Bałuty Teofilów,2,245000,37.26,6575,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-teofilow-4-pietro-ID49AN4.html
2 Pokoje Do Adaptacji 38m2 Teofilów,Bałuty Teofilów,2,229000,38,6026,18-01-2021,https://www.otodom.pl/pl/oferta/2-pokoje-do-adaptacji-38m2-teofilow-ID49ALU.html
3 Pokoje 83M ! Prywatne Osiedle Do Wprowadzenia!,Polesie,3,550000,83,6627,18-01-2021,https://www.otodom.pl/pl/oferta/3-pokoje-83m-prywatne-osiedle-do-wprowadzenia-ID49AKR.html
M3 Łódź - Dąbrowa Przy Parku Podolskim,Górna Dąbrowa,2,215000,37,5811,18-01-2021,https://www.otodom.pl/pl/oferta/m3-lodz-dabrowa-przy-parku-podolskim-ID49AKP.html
Rozkładowe M-3 Żubardź blisko park i Manufaktura,Bałuty Żubardź,2,216000,46,4696,18-01-2021,https://www.otodom.pl/pl/oferta/rozkladowe-m-3-zubardz-blisko-park-i-manufaktura-ID49AKn.html
Sprzedam mieszkanie,Bałuty,2,219000,37,5919,18-01-2021,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-ID49AJC.html
Żubardź 2rozkładowe45m2balkonŻabieniec,Bałuty,2,261000,45.13,5783,18-01-2021,https://www.otodom.pl/pl/oferta/zubardz-2-pokoje-rozkladowe-45m2-balkon-zabieniec-ID49AJt.html
M4 Retkinia parter balkon + parking!,Polesie Retkinia,3,327000,54.50,6000,18-01-2021,https://www.otodom.pl/pl/oferta/m4-retkinia-parter-balkon-parking-ID49AJq.html
Przestronne mieszkanie 3 pokojowe na Bałutach,Bałuty,3,325000,67.79,4794,18-01-2021,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-3-pokojowe-na-balutach-ID49AHs.html
Czteropokojowe mieszkanie w nowym budownictwie,Polesie,4,529000,72.04,7343,18-01-2021,https://www.otodom.pl/pl/oferta/czteropokojowe-mieszkanie-w-nowym-budownictwie-ID49AGS.html
Przestronne mieszkanie w wyremontowanej kamienic,Śródmieście,3,450000,86.64,5194,18-01-2021,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-w-wyremontowanej-kamienic-ID49AGG.html
